team_id,team,conference,games,wins,losses,win_pct,avg_margin,ppg_for,ppg_against,pyth_win_pct,luck_overperformance,close_share_5,close_win_pct_5,close_games_5,close_wins_5,close_losses_5,adj_em
2275,Hofstra Pride,Coastal Athletic Association,27.0,17.0,10.0,0.6296296296296297,7.962962962962963,75.77777777777777,67.81481481481481,0.781901268622461,-0.15227163899283136,0.48148148148148145,0.38461538461538464,13.0,5.0,8.0,7.962962962962963
2460,Northern Iowa Panthers,Missouri Valley Conference,27.0,17.0,10.0,0.6296296296296297,7.925925925925926,69.11111111111111,61.18518518518518,0.802313964332312,-0.1726843347026823,0.25925925925925924,0.2857142857142857,7.0,2.0,5.0,7.925925925925926
26,UCLA Bruins,Big Ten Conference,25.0,17.0,8.0,0.68,7.44,77.92,70.48,0.7602530404004899,-0.08025304040048986,0.2,0.6,5.0,3.0,2.0,7.44
2750,Wright State Raiders,Horizon League,27.0,17.0,10.0,0.6296296296296297,7.37037037037037,80.25925925925925,72.88888888888889,0.7517090540396942,-0.12207942441006459,0.25925925925925924,0.42857142857142855,7.0,3.0,4.0,7.37037037037037
2565,SIU Edwardsville Cougars,Ohio Valley Conference,27.0,17.0,10.0,0.6296296296296297,7.296296296296297,72.25925925925925,64.96296296296296,0.7727836412012401,-0.14315401157161045,0.37037037037037035,0.5,10.0,5.0,5.0,7.296296296296297
231,Furman Paladins,Southern Conference,27.0,17.0,10.0,0.6296296296296297,6.481481481481482,76.77777777777777,70.29629629629629,0.7338521375362246,-0.10422250790659493,0.4444444444444444,0.4166666666666667,12.0,5.0,7.0,6.481481481481482
2110,Central Arkansas Bears,ASUN Conference,27.0,17.0,10.0,0.6296296296296297,6.37037037037037,80.03703703703704,73.66666666666667,0.7218786243562587,-0.09224899472662906,0.1111111111111111,0.6666666666666666,3.0,2.0,1.0,6.37037037037037
2458,Northern Colorado Bears,Big Sky Conference,27.0,17.0,10.0,0.6296296296296297,6.2592592592592595,82.96296296296296,76.70370370370371,0.7113827632060046,-0.08175313357637493,0.4074074074074074,0.45454545454545453,11.0,5.0,6.0,6.2592592592592595
2540,UC Santa Barbara Gauchos,Big West Conference,26.0,17.0,9.0,0.6538461538461539,6.153846153846154,79.1923076923077,73.03846153846153,0.7171299491729795,-0.0632837953268256,0.2692307692307692,0.7142857142857143,7.0,5.0,2.0,6.153846153846154
142,Missouri Tigers,Southeastern Conference,25.0,17.0,8.0,0.68,5.72,80.04,74.32,0.7011298222942914,-0.02112982229429139,0.32,0.75,8.0,6.0,2.0,5.72
